reference_number,inn,common_ingredients,cas_number,ec_number,product_type,maximum_concentration,other,wording_of_conditions,regulation,regulated_by,other_regulations,sccs_opinions,chemical_name,identified_ingredients,cmr,update_date
2a,"Thioglycolic acid and its salts","THIOGLYCOLIC ACID",68-11-1,200-677-4,"(a) Hair products

(b) Depilatories

(c) Hair rinse-off products 

(d) Products intended for eyelash waving","(a) (i) 8%    (ii) 11% 

(b) 5% 

(c) 2%
 
(d) 11% The abovementioned percentages are calculated as thioglycollic acid","(a) (i) General use ready for use pH 7 to 9.5        (ii) Professional use ready for use pH 7 to 9.5

(b) ready for use pH 7 to 12.7

(c) ready for use pH 7 to 9.5

(d) ready for use pH 7 to 9,5


","Conditions of use:

(a) (b) (c) (d)
Avoid contact with eyes
Rinse eyes immediately if product comes into contact with them.

(a) (c) (d)
Wear suitable gloves

Warnings to be printed on the label:
(a)(i) (b) (c)
Contains thioglycolate
Follow the instructions
Keep out of reach of children

(a)(ii) (d)
For professional use only
Contains thioglycolate
Follow the instructions’
","(EU) 2015/1190",,"Thioglycolic acid and its salts (TGA)","Thioglycolic acid and its salts","AMMONIUM THIOGLYCOLATE,CALCIUM THIOGLYCOLATE,ETHANOLAMINE THIOGLYCOLATE,MAGNESIUM THIOGLYCOLATE,POTASSIUM THIOGLYCOLATE,SODIUM THIOGLYCOLATE,STRONTIUM THIOGLYCOLATE,THIOGLYCOLIC ACID,CALCIUM THIOGLYCOLATE HYDROXIDE",,27/07/2020
24,"Water-soluble zinc salts with the exception of zinc 4- hydroxy-benzenesulphonate (entry 25) and zinc pyrithione (Annex II, entry 1670)","ZINC ACETATE / ZINC CHLORIDE / ZINC GLUCONATE / ZINC GLUTAMATE",-,-,,"1% (as zinc)",,,"(EC) 2009/1223",,,"Water-soluble zinc salts with the exception of zinc 4- hydroxy-benzenesulphonate (entry 25) and zinc pyrithione (Annex II, entry 1670)","LACTOBACILLUS LAC/CALCIUM/PHOSPHOROUS/MAGNESIUM/ZINC FERMENT,PORPHYRIDIUM/ZINC FERMENT,ZINC ACETATE,ZINC ASPARTATE,ZINC BORATE,ZINC CHLORIDE,ZINC DIBUTYLDITHIOCARBAMATE,ZINC GLUCOHEPTONATE,ZINC GLUCONATE,ZINC GLUTAMATE,ZINC LACTATE,ZINC PCA,ZINC PENTADECENE TRICARBOXYLATE,ZINC SULFATE,LACTOBACILLUS/MILK/MANGANESE/ZINC FERMENT LYSATE,SACCHAROMYCES/ZINC/IRON/GERMANIUM/COPPER/MAGNESIUM/SILICON FERMENT,SODIUM ZINC CETYL PHOSPHATE,SODIUM ZINC HISTIDINE DITHIOOCTANAMIDE,ZINC ADENOSINE TRIPHOSPHATE,ZINC ASCORBATE,ZINC COCETH SULFATE,ZINC COCO-SULFATE,ZINC CYSTEINATE,ZINC GLYCINATE,ZINC MAGNESIUM ASPARTATE,ZINC PICOLINATE,ZINC SALICYLATE,ZINC THIOSALICYLATE,ZINC UNDECYLENOYL HYDROLYZED WHEAT PROTEIN,SACCHAROMYCES/ZINC FERMENT,ZINC CITRATE,ZINC FORMALDEHYDE SULFOXYLATE,ZINC HYDROLYZED COLLAGEN,ZINC GLYCINATE SALICYLATE,SODIUM ZINC TAURINE DITHIOOCTANAMIDE,ZINC ASCORBATE HYDROXIDE,ZINC NITRATE,ZINC HYDROLYZED HYALURONATE",,03/11/2021
25,"Zinc 4-hydroxybenzene sulphonate","ZINC PHENOLSULFONATE",127-82-2,204-867-8,"Deodorants, antiperspirants and astringent lotions","6% (as % of anhydrous substance)",,"Avoid contact with eyes","(EC) 2009/1223",,,,"ZINC PHENOLSULFONATE",,17/10/2010
26,"Ammonium monofluorophosphate","AMMONIUM MONOFLUOROPHOSPHATE","20859-38-5 -- 66115-19-3","- -- -","Oral products","0,15 % calculated as F. 
When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0,15 %",,"Contains ammonium monofluorophosphate. 
For any toothpaste with compounds containing fluorine in a concentration of 0,1 to 0,15 % calculated as F unless it is already labelled as contra-indicated for children (e.g. “for adult use only”) the following labelling is obligatory: “Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. 
In case of intake of fluoride from other sources consult a dentist or doctor.”","(EC) 2013/344",,"Opinion concerning the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 years,Opinion on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years,Clarification on the Opinions SCCNFP/0653/03 and SCCP/0882/05 on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years",,"AMMONIUM MONOFLUOROPHOSPHATE",,14/05/2013
27,"Sodium monofluorophosphate",-,"10163-15-2 --  7631-97-2","233-433-0 --  231-552-2","Oral products","0.15% calculated as F.
When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0.15%",,"Contains sodium monofluorophosphate 
For any toothpaste with compounds containing fluorine in a concentration of 0.1 to 0.15% calculated as F unless it is already labelled as contra-indicated for children (e.g. ""for adult use only"") the following labelling is obligatory:
""Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.""","(EC) 2013/344",,"Opinion concerning the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 years,Opinion on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years,Clarification on the Opinions SCCNFP/0653/03 and SCCP/0882/05 on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years","Disodium fluorophosphate","SODIUM MONOFLUOROPHOSPHATE",,14/05/2013
28,"Potassium monofluorophosphate",-,14104-28-0,237-957-0,"Oral products","0.15% calculated as F.
When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0.15%",,"Contains potassium monofluorophosphate 
For any toothpaste with compounds containing fluorine in a concentration of 0.1 to 0.15% calculated as F unless it is already labelled as contra-indicated for children (e.g. ""for adult use only"") the following labelling is obligatory:
""Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.""","(EC) 2013/344",,"Opinion concerning the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 years,Opinion on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years,Clarification on the Opinions SCCNFP/0653/03 and SCCP/0882/05 on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years","Dipotassium fluorophosphate","POTASSIUM MONOFLUOROPHOSPHATE",,14/05/2013
29,"Calcium monofluorophosphate",-,7789-74-4,232-187-1,"Oral products","0,15 % calculated as F. 
When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0,15 %",,"Contains calcium monofluorophosphate. 
For any toothpaste with compounds containing fluorine in a concentration of 0,1 to 0,15 % calculated as F unless it is already labelled as contra-indicated for children (e.g. “for adult use only”) the following labelling is obligatory: “Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.”","(EC) 2013/344",,"Opinion concerning the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 years,Opinion on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years,Clarification on the Opinions SCCNFP/0653/03 and SCCP/0882/05 on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years","Calcium fluorophosphate","CALCIUM MONOFLUOROPHOSPHATE",,14/05/2013
30,"Calcium fluoride",-,7789-75-5,232-188-7,"Oral products","0.15% calculated as F.
When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0.15%",,"Contains calcium fluoride 
For any toothpaste with compounds containing fluorine in a concentration of 0.1 to 0.15% calculated as F unless it is already labelled as contra-indicated for children (e.g. ""for adult use only"") the following labelling is obligatory:
""Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.""","(EC) 2013/344",,"Opinion concerning the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 years,Opinion on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years,Clarification on the Opinions SCCNFP/0653/03 and SCCP/0882/05 on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years",,"CALCIUM FLUORIDE",,14/05/2013
31,"Sodium fluoride",-,7681-49-4,231-667-8,"Oral products","0,15 % calculated as F. 
When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0,15 %",,"Contains sodium fluoride 
For any toothpaste with compounds containing fluorine in a concentration of 0.1 to 0.15% calculated as F unless it is already labelled as contra-indicated for children (e.g. ""for adult use only"") the following labelling is obligatory:
""Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.""","(EC) 2013/344",,"Opinion concerning the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 years,Opinion on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years,Clarification on the Opinions SCCNFP/0653/03 and SCCP/0882/05 on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years",,"SODIUM FLUORIDE",,14/05/2013
32,"Potassium fluoride","POTASSIUM FLUORIDE",7789-23-3,232-151-5,"Oral products","0,15 % calculated as F. 
When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0,15 %",,"Contains potassium fluoride 
For any toothpaste with compounds containing fluorine in a concentration of 0.1 to 0.15% calculated as F unless it is already labelled as contra-indicated for children (e.g. ""for adult use only"") the following labelling is obligatory:
""Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.""","(EC) 2013/344",,"Opinion concerning the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 years,Opinion on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years,Clarification on the Opinions SCCNFP/0653/03 and SCCP/0882/05 on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years",,"POTASSIUM FLUORIDE",,14/05/2013
33,"Ammonium fluoride","AMMONIUM FLUORIDE",12125-01-8,235-185-9,"Oral products","0,15 % calculated as F. 
When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0,15 %",,"Contains ammonium fluoride. 
For any toothpaste with compounds containing fluorine in a concentration of 0,1 to 0,15 % calculated as F unless it is already labelled as contra-indicated for children (e.g. “for adult use only”) the following labelling is obligatory: “Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.”","(EC) 2013/344",,"Opinion concerning the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 years,Opinion on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years,Clarification on the Opinions SCCNFP/0653/03 and SCCP/0882/05 on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years",,"AMMONIUM FLUORIDE",,14/05/2013
34,"Aluminium fluoride","ALUMINIUM FLUORIDE",7784-18-1,232-051-1,"Oral  products","0,15 % calculated as F. 
When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0,15 %",,"Contains aluminium fluoride. 
For any toothpaste with compounds containing fluorine in a concentration of 0,1 to 0,15 % calculated as F unless it is already labelled as contra-indicated for children (e.g. “for adult use only”) the following labelling is obligatory: “Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.”","(EC) 2013/344",,"Opinion concerning the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 years,Opinion on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years,Clarification on the Opinions SCCNFP/0653/03 and SCCP/0882/05 on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years",,"ALUMINUM FLUORIDE",,14/05/2013
35,"Stannous Fluoride",-,7783-47-3,231-999-3,"Oral products","0,15 % calculated as F. 
When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0,15 %",,"Contains stannous fluoride 
For any toothpaste with compounds containing fluorine in a concentration of 0.1 to 0.15% calculated as F unless it is already labelled as contra-indicated for children (e.g. ""for adult use only"") the following labelling is obligatory:
""Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.""","(EC) 2013/344",,"Opinion concerning the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 years,Opinion on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years,Clarification on the Opinions SCCNFP/0653/03 and SCCP/0882/05 on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years","Tin difluoride","STANNOUS FLUORIDE",,14/05/2013
36,"Cetylamine Hydrofluoride","Cetylamine Hydrofluoride",3151-59-5,221-588-7,"Oral products","0,15 % calculated as F. 
When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0,15 %",,"Contains Cetylamine hydrofluoride.
For any toothpaste with compounds containing fluorine in a concentration of 0,1 to 0,15 % calculated as F unless it is already labelled as contra-indicated for children (e.g. “for adult use only”) the following labelling is obligatory: “Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.”","(EC) 2013/344",,"Opinion concerning the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 years,Opinion on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years,Clarification on the Opinions SCCNFP/0653/03 and SCCP/0882/05 on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years","Hexadecyl ammonium fluoride","CETYLAMINE HYDROFLUORIDE",,14/05/2013
37,"3-(N-Hexadecyl-N-2-hydroxyethylammonio) propylbis (2-hydroxyethyl) ammonium difluoride",-,-,-,"Oral  products","0,15 % calculated as F.
 When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0,15 %",,"Contains 3-(N-Hexadecyl-N-2-hydroxyethylammonio) propylbis (2-hydroxyethyl) ammonium difluoride 
For any toothpaste with compounds containing fluorine in a concentration of 0.1 to 0.15% calculated as F unless it is already labelled as contra-indicated for children (e.g. ""for adult use only"")labelling is obligatory:Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor","(EC) 2013/344",,"Opinion concerning the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 years,Opinion on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years,Clarification on the Opinions SCCNFP/0653/03 and SCCP/0882/05 on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years",,,,14/05/2013
38,"N,N',N'-Tris(polyoxyethylene)-N-hexadecylpropylenediamine dihydrofluoride",-,-,-,"Oral  products","0,15 % calculated as F. 
When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0,15 %",,"Contains N,N',N'-tris(polyoxyethylene)-N-hexadecylpropylenediamine dihydrofluoride 
For any toothpaste with compounds containing fluorine in a concentration of 0.1 to 0.15% calculated as F unless it is already labelled as contra-indicated for children (e.g. ""for adult use only"") the labelling is obligatory:""Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor""","(EC) 2013/344",,"Opinion concerning the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 years,Opinion on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years,Clarification on the Opinions SCCNFP/0653/03 and SCCP/0882/05 on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years",,,,14/05/2013
